Transect,Treatment,Date,Start time,Grasshopper sex,Grasshopper ID,Grasshopper source,Temp,Grasshopper wt (g),Lupine source,0h leaf wt (g),2h leaf wt (g),Fresh 8h leaf wt (g),8h leaf wt (g),Notes,2h % change,8h % change,Total,Treatment_sensible
GB,6,8/19/17,9am,Female,2020-3,High,32,0.5056,High,1.0909,1.0237,,0.8359,,6.160051334,23.37519479,0.255,GH-LH-TH
GB,8,8/19/17,9am,Female,2020-19,High,32,0.3559,Low,0.768,0.741,,0.2993,,3.515625,#REF!,0.4687,GH-LL-TH
GB,4,8/19/17,9am,Female,1740-9,Low,32,0.4217,High,0.5898,0.4865,,0.4408,,17.51441166,49.2539844,0.149,GL-LH-TH
GB,2,8/19/17,9am,Male,1740-3,Low,32,0.1509,Low,0.6138,0.6117,,0.6027,Expired overnight after the trial,0.342130987,1.808406647,0.0111,GL-LL-TH
GB,4,8/19/17,9am,Male,1740-18,Low,32,0.1502,High,0.4721,0.4478,,0.4051,,5.147214573,14.19190849,0.067,GL-LH-TH
GB,6,8/19/17,9am,Female,2020-1,High,32,0.4512,High,0.9008,0.8035,,0.7062,,10.80150977,21.60301954,0.1946,GH-LH-TH
GB,4,8/19/17,9am,Male,1740-16,Low,32,0.184,High,0.4804,0.4552,,0.4184,,5.245628643,12.90591174,0.062,GL-LH-TH
GB,2,8/19/17,9am,Female,1740-4,Low,32,0.4574,Low,0.2648,0.1644,0.5612,0.4255,"Added new leaf at 2h: 1740-2, 0.5612",37.91540785,24.18032787,0.2361,GL-LL-TH
GB,8,8/19/17,9am,Female,2020-23,Low,32,0.4547,Low,0.2417,0.1446,0.5206,0.3346,"Added new leaf at 2h: 1740-1, 0.5206",40.17376914,35.72800615,0.2831,GH-LL-TH
GB,6,8/19/17,9am,Male,2020-22,High,32,0.1704,High,0.5107,0.4852,,0.4663,,4.993146661,8.693949481,0.0444,GH-LH-TH
GB,8,8/19/17,9am,Female,2020-15,High,32,0.4269,Low,0.8315,0.7481,,0.6124,,10.03006615,26.34996993,0.2191,GH-LL-TH
GB,8,8/19/17,9am,Male,2020-14,High,32,0.3004,Low,0.6066,0.5436,,0.4458,,10.38575668,26.50840752,0.1608,GH-LL-TH
GB,7,8/19/17,9am,Female,2020-5,High,25,0.4236,Low,0.3278,0.2745,,0.2437,,16.25991458,25.65588774,0.0841,GH-LL-TL
GB,3,8/19/17,9am,Male,1740-12,Low,25,0.1463,High,0.8652,0.8605,,0.8438,,0.543227,2.473416551,0.0214,GL-LH-TL
GB,1,8/19/17,9am,Female,1740-13,Low,25,0.4873,Low,0.899,0.8093,,0.7822,,9.977753059,12.99221357,0.1168,GL-LL-TL
GB,7,8/19/17,9am,Male,2020-2,High,25,0.1796,Low,0.5024,0.4628,,0.4193,,7.882165605,16.5406051,0.0831,GH-LL-TL
GB,1,8/19/17,9am,Female,1740-14,Low,25,0.4606,Low,0.59,0.5408,,0.4687,,8.338983051,20.55932203,0.1213,GL-LL-TL
GB,3,8/19/17,9am,Female,1740-7,Low,25,0.3549,High,0.4366,0.3622,,0.208,,17.04076958,52.3591388,0.2286,GL-LH-TL
GB,3,8/19/17,9am,Female,1740-11,Low,25,0.5487,High,1.0081,0.9244,,0.8595,,8.302747743,14.74060113,0.1486,GL-LH-TL
GB,1,8/19/17,9am,Female,1740-21,Low,25,0.4659,Low,0.3967,0.3081,,0.2463,,22.33425763,37.91278044,0.1504,GL-LL-TL
GB,3,8/19/17,9am,Male,1740-10,Low,25,0.161,High,0.4128,0.381,,0.3419,,7.703488372,17.1753876,0.0709,GL-LH-TL
GB,3,8/19/17,9am,Male,1740-5,Low,25,0.1582,High,0.8384,0.8224,,0.8277,,1.908396947,1.276240458,0.0107,GL-LH-TL
GB,7,8/19/17,9am,Female,2020-12,High,25,0.3651,Low,0.675,0.5744,,0.4727,,14.9037037,29.97037037,0.2023,GH-LL-TL
GB,5,8/19/17,9am,Male,2020-17,High,25,0.1357,High,0.6264,0.6042,,0.587,,3.544061303,6.2899106,0.0394,GH-LH-TL
GB,7,8/19/17,9am,Female,2020-9,High,25,0.4603,Low,0.4832,0.442,,0.3809,,8.526490066,21.17135762,0.1023,GH-LL-TL
GB,7,8/19/17,9am,Female,2020-6,High,25,0.4932,Low,0.5893,0.4671,,0.3539,,20.73646699,39.94569829,0.2354,GH-LL-TL
GB,1,8/19/17,9am,Female,1740-1,Low,25,0.4968,Low,0.5726,0.5103,,0.4505,,10.8801956,21.32378624,0.1221,GL-LL-TL
GB,1,8/19/17,9am,Male,1740-2,Low,25,0.1582,Low,0.5698,0.5381,,0.5274,,5.563355563,7.441207441,0.0424,GL-LL-TL
GB,5,8/19/17,9am,Female,2020-18,High,25,0.3862,High,0.7148,0.627,,0.5638,,12.28315613,21.12479015,0.151,GH-LH-TL
GB,1,8/19/17,9am,Female,1740-20,Low,25,0.4374,Low,0.5269,0.4485,,0.4465,,14.87948377,15.25906244,0.0804,GL-LL-TL
GB,3,8/20/17,8am,Male,1740-16,Low,25,0.184,High,0.4096,0.3963,,0.3779,,3.247070313,7.739257813,0.0317,GL-LH-TL
GB,3,8/20/17,8am,Female,1740-20,Low,25,0.4374,High,0.9347,0.8789,,0.8032,,5.969829892,14.06868514,0.1315,GL-LH-TL
GB,3,8/20/17,8am,Female,1740-9,Low,25,0.4217,High,0.9186,0.8721,,0.8156,,5.062050947,11.212715,0.103,GL-LH-TL
GB,3,8/20/17,8am,Male,1740-18,Low,25,0.1502,High,0.8669,0.8502,,0.8327,,1.92640443,3.945091706,0.0342,GL-LH-TL
GB,1,8/20/17,8am,Female,1740-4,Low,25,0.4574,Low,0.522,0.4187,,0.3192,,19.78927203,38.85057471,0.2028,GL-LL-TL
GB,7,8/20/17,8am,Female,2020-19,High,25,0.3559,Low,0.687,0.6451,,0.5495,,6.098981077,20.01455604,0.1375,GH-LL-TL
GB,7,8/20/17,8am,Female,2020-14,High,25,0.3004,Low,0.5801,0.5382,,0.4871,,7.222892605,16.03171867,0.093,GH-LL-TL
GB,1,8/20/17,8am,Female,1740-14,Low,25,0.4606,Low,0.4016,0.3667,,0.3553,,8.690239044,11.52888446,0.0463,GL-LL-TL
GB,5,8/20/17,8am,Female,2020-23,High,25,0.4547,High,0.9243,0.8702,,0.8134,,5.853078005,11.99826896,0.1109,GH-LH-TL
GB,7,8/20/17,8am,Female,2020-1,High,25,0.4512,Low,0.8066,0.7727,,0.6871,,4.20282668,14.81527399,0.1195,GH-LL-TL
GB,5,8/20/17,8am,Female,2020-3,High,25,0.5056,High,0.6338,0.5882,,0.5059,,7.194698643,20.17986747,0.1279,GH-LH-TL
GB,5,8/20/17,8am,Male,2020-22,High,25,0.1704,High,0.6108,0.6024,,0.5911,,1.37524558,3.225278324,0.0197,GH-LH-TL
GB,3,8/20/17,8am,Male,1740-2,Low,25,0.1582,High,0.6072,0.5936,,0.5674,,2.239789196,6.554677207,0.0398,GL-LH-TL
GB,5,8/20/17,8am,Female,2020-15,High,25,0.4269,High,1.1793,1.1497,,1.0896,,2.509963538,7.606207072,0.0897,GH-LH-TL
GB,1,8/20/17,8am,Male,1740-17,Low,25,0.1817,Low,0.3632,0.3289,,0.3009,,9.443832599,17.1530837,0.0623,GL-LL-TL
GB,8,8/20/17,8am,Female,2020-18,High,32,0.3862,Low,0.6532,0.5694,,0.4309,,12.82914881,34.0324556,0.2223,GH-LL-TH
GB,8,8/20/17,8am,Male,2020-2,High,32,0.1796,Low,0.415,0.3874,,0.3451,,6.65060241,16.84337349,0.0699,GH-LL-TH
GB,2,8/20/17,8am,Female,1740-7,Low,32,0.3549,Low,0.6328,0.5521,,0.395,,12.7528445,37.57901391,0.2378,GL-LL-TH
GB,2,8/20/17,8am,Female,1740-1,Low,32,0.4968,Low,0.4263,0.3722,,0.3264,,12.69059348,23.43420127,0.0999,GL-LL-TH
GB,6,8/20/17,8am,Female,2020-6,High,32,0.4932,High,0.7726,0.6515,,0.4491,,15.67434636,41.87160238,0.3235,GH-LH-TH
GB,2,8/20/17,8am,Male,1740-10,Low,32,0.161,Low,0.6509,0.6582,,0.6335,,0,2.673221693,0.0174,GL-LL-TH
GB,8,8/20/17,8am,Female,2020-9,High,32,0.4603,Low,0.6525,0.607,,0.5667,,6.973180077,13.14942529,0.0858,GH-LL-TH
GB,4,8/20/17,8am,Female,1740-13,Low,32,0.4873,High,0.6058,0.5739,,0.5588,,5.265764279,7.758336085,0.047,GL-LH-TH
GB,4,8/20/17,8am,Female,1740-11,Low,32,0.5487,High,0.6421,0.6021,,0.5753,,6.229559259,10.40336396,0.0668,GL-LH-TH
GB,6,8/20/17,8am,Male,2020-17,High,32,0.1357,High,0.7412,0.7303,,0.7055,,1.470588235,4.816513761,0.0357,GH-LH-TH
GB,4,8/20/17,8am,Male,1740-5,Low,32,0.1582,High,0.665,0.6646,,0.6539,,0.060150376,1.669172932,0.0111,GL-LH-TH
GB,8,8/20/17,8am,Female,2020-12,High,32,0.3651,Low,0.3281,0.2454,,0.143,,25.20572996,56.41572691,0.1851,GH-LL-TH
GB,2,8/20/17,8am,Female,1740-21,Low,32,0.4659,Low,0.7793,0.755,,0.6397,,3.118182985,17.91351213,0.1396,GL-LL-TH
PA,7,8/26/17,8am,Male,1791-13,High,25,0.1587,Low,0.357,0.336,,0.325,,5.882352941,8.963585434,0.032,GH-LL-TL
PA,3,8/26/17,8am,Female,1490-1,Low,25,0.5566,High,0.6836,0.6233,,0.5491,,8.820947923,19.67524868,0.1345,GL-LH-TL
PA,1,8/26/17,8am,Female,1490-15,Low,25,0.468,Low,0.9908,0.9012,,0.8334,,9.043197416,15.8861526,0.1574,GL-LL-TL
PA,3,8/26/17,8am,Male,1490-8,Low,25,0.144,High,0.4812,0.4538,,0.4342,,5.694098088,9.767248545,0.047,GL-LH-TL
PA,1,8/26/17,8am,Female,1490-17,Low,25,0.5713,Low,0.3828,0.2826,,0.1539,,26.17554859,59.79623824,0.2289,GL-LL-TL
PA,3,8/26/17,8am,Male,1490-11,Low,25,0.1934,High,0.5428,0.5369,,0.5327,,1.086956522,1.860722181,0.0101,GL-LH-TL
PA,1,8/26/17,8am,Female,1490-18,Low,25,0.2804,Low,0.5984,0.5244,,0.4834,,12.36631016,19.21791444,0.115,GL-LL-TL
PA,3,8/26/17,8am,Male,1490-23,Low,25,0.1853,High,0.361,0.3332,,0.3121,,7.700831025,13.54570637,0.0489,GL-LH-TL
PA,5,8/26/17,8am,Female,1791-3,High,25,0.4601,High,0.5636,0.5318,,0.504,,5.642299503,10.5748758,0.0596,GH-LH-TL
PA,5,8/26/17,8am,Male,1791-25,High,25,0.164,High,0.412,0.3993,,0.3671,,3.082524272,10.89805825,0.0449,GH-LH-TL
PA,1,8/26/17,8am,Female,1490-3,Low,25,0.4774,Low,0.6012,0.5301,,0.487,,11.82634731,18.99534265,0.1142,GL-LL-TL
PA,1,8/26/17,8am,Female,1490-7,Low,25,0.4513,Low,0.5832,0.5237,,0.4405,,10.20233196,24.46844993,0.1427,GL-LL-TL
PA,7,8/26/17,8am,Female,1791-14,High,25,0.4679,Low,0.4479,0.3508,,0.20306,,21.67894619,54.6639875,0.24484,GH-LL-TL
PA,7,8/26/17,8am,Female,1791-8,High,25,0.4308,Low,0.5604,0.5066,,0.4798,,9.60028551,14.38258387,0.0806,GH-LL-TL
PA,7,8/26/17,8am,Female,1791-10,High,25,0.4645,Low,0.6572,0.6239,,0.5861,,5.0669507,10.81862447,0.0711,GH-LL-TL
PA,3,8/26/17,8am,Male,1490-24,Low,25,0.1876,High,0.6253,0.6102,,0.5928,,2.414840876,5.197505198,0.0325,GL-LH-TL
PA,5,8/26/17,8am,Male,1791-15,High,25,0.1739,High,0.2725,0.2424,,0.212,,11.04587156,22.20183486,0.0605,GH-LH-TL
PA,5,8/26/17,8am,Female,1791-16,High,25,0.3215,High,1.0121,0.975,,0.9345,,3.665645687,7.667226559,0.0776,GH-LH-TL
PA,1,8/26/17,8am,Male,1490-2,Low,25,0.156,Low,0.3045,0.281,,0.269,,7.717569787,11.65845649,0.0355,GL-LL-TL
PA,3,8/26/17,8am,Female,1490-20,Low,25,0.2575,High,0.9305,0.9106,,0.8704,,2.138635142,6.458893068,0.0601,GL-LH-TL
PA,5,8/26/17,8am,Male,1791-9,High,25,0.1677,High,0.5782,0.549,,0.5254,,5.050155655,9.131788309,0.0528,GH-LH-TL
PA,7,8/26/17,8am,Female,1791-22,High,25,0.3215,Low,0.7499,0.6899,,0.6156,,8.001066809,17.90905454,0.1343,GH-LL-TL
PA,5,8/26/17,8am,Male,1791-17,High,25,0.1706,High,0.4472,0.4412,,0.4386,,1.341681574,1.923076923,0.0086,GH-LH-TL
PA,7,8/26/17,8am,Female,1791-21,High,25,0.2601,Low,0.4525,0.3847,,0.2927,,14.98342541,35.31491713,0.1598,GH-LL-TL
PA,3,8/26/17,8am,Male,1490-6,Low,25,0.1597,High,0.3416,0.3215,,0.3015,,5.884074941,11.73887588,0.0401,GL-LH-TL
PA,2,8/26/17,8am,Female,1490-21,Low,32,0.5307,Low,0.583,0.59,,0.3444,,0,40.92624357,0.2386,GL-LL-TH
PA,6,8/26/17,8am,Female,1791-1,High,32,0.5207,High,0.9651,0.8824,,0.8432,,8.569060201,12.63081546,0.1219,GH-LH-TH
PA,4,8/26/17,8am,Female,1490-9,Low,32,0.5308,High,0.6259,0.6214,,0.5976,,0.718964691,4.521489056,0.0283,GL-LH-TH
PA,6,8/26/17,8am,Female,1791-24,High,32,0.2839,High,0.5411,0.4536,,0.3214,,16.17076326,40.60247644,0.2197,GH-LH-TH
PA,2,8/26/17,8am,Female,1490-22,Low,32,0.4432,Low,0.51,0.4211,,0.2667,,17.43137255,47.70588235,0.2433,GL-LL-TH
PA,6,8/26/17,8am,Male,1791-7,High,32,0.1629,High,0.5369,0.513,,0.4757,,4.451480723,11.39877072,0.0612,GH-LH-TH
PA,4,8/26/17,8am,Male,1490-25,Low,32,0.1604,High,0.5803,0.5565,,0.5463,,4.1013269,5.859038428,0.034,GL-LH-TH
PA,2,8/26/17,8am,Female,1490-5,Low,32,0.4452,Low,0.5208,0.4327,,0.3166,,16.91628264,39.20890937,0.2042,GL-LL-TH
PA,8,8/26/17,8am,Female,1791-20,High,32,0.3793,Low,1.0058,0.9344,,0.8288,,7.098826805,17.59793199,0.177,GH-LL-TH
PA,8,8/26/17,8am,Male,1791-11,High,32,0.1726,Low,0.2405,0.2047,,0.1641,,14.88565489,31.76715177,0.0764,GH-LL-TH
PA,4,8/26/17,8am,Male,1490-4,Low,32,0.1793,High,0.6775,0.6538,,0.6076,,3.498154982,10.31734317,0.0699,GL-LH-TH
PA,4,8/26/17,8am,Female,1490-13,Low,32,0.5152,High,1.2664,1.1573,,1.1034,,8.614971573,12.87113076,0.163,GL-LH-TH
PA,6,8/26/17,8am,Male,1791-19,High,32,0.1721,High,0.4949,0.4565,,0.3909,,7.759143261,21.01434633,0.104,GH-LH-TH
PA,8,8/26/17,8am,Female,1791-18,High,32,0.3446,Low,0.4945,0.3717,,0.2026,,24.83316481,59.02932255,0.2919,GH-LL-TH
PA,2,8/26/17,8am,Male,1490-12,Low,32,0.1568,Low,0.7575,0.7426,,0.7272,,1.9669967,4,0.0303,GL-LL-TH
PA,6,8/26/17,8am,Female,1791-6,High,32,0.3866,High,0.5169,0.4559,,0.3559,,11.80112207,31.14722383,0.161,GH-LH-TH
PA,6,8/26/17,8am,Male,1791-2,High,32,0.1917,High,0.3491,0.3176,,0.3033,,9.023202521,13.11945001,0.0458,GH-LH-TH
PA,8,8/26/17,8am,Male,1791-5,High,32,0.138,Low,0.2851,0.2484,,0.2025,,12.87267625,28.97229042,0.0826,GH-LL-TH
PA,2,8/26/17,8am,Male,1490-16,Low,32,0.1872,Low,0.4041,0.3659,,0.3377,,9.453105667,16.43157634,0.0664,GL-LL-TH
PA,2,8/26/17,8am,Male,1490-10,Low,32,0.1992,Low,0.5598,0.5345,,0.5066,,4.51947124,9.503394069,0.0532,GL-LL-TH
PA,4,8/26/17,8am,Female,1490-14,Low,32,0.4786,High,0.5099,0.4511,,0.4052,,11.53167288,20.53343793,0.1047,GL-LH-TH
PA,8,8/26/17,8am,Male,1791-4,High,32,0.1695,Low,0.2502,0.224,,0.2036,,10.4716227,18.62509992,0.0466,GH-LL-TH
PA,8,8/26/17,8am,Female,1791-12,High,32,0.3772,Low,0.3018,0.1807,0.2956,0.077,Added new leaf at 2h; 0.2956,40.1259112,56.86307332,0.3397,GH-LL-TH
PA,4,8/26/17,8am,Female,1490-19,Low,32,0.2813,High,0.6018,0.5772,,0.5717,,4.08773679,5.001661682,0.0301,GL-LH-TH
PA,8,8/26/17,8am,Male,1791-4,High,32,0.169,Low,0.2502,0.2235,,0.2011,,10.67146283,19.62430056,0.0491,GH-LL-TH
PA,3,8/27/17,8am,Male,1490-4,Low,25,0.1793,High,0.3018,0.2869,,0.2638,,4.9370444,12.59111995,0.038,GL-LH-TL
PA,7,8/27/17,8am,Female,1791-12,High,25,0.3772,Low,0.3594,0.2852,,0.1753,,20.64552031,51.22426266,0.1841,GH-LL-TL
PA,7,8/27/17,8am,Female,1791-18,High,25,0.3446,Low,0.714,0.6385,,0.5096,,10.57422969,28.62745098,0.2044,GH-LL-TL
PA,3,8/27/17,8am,Female,1490-14,Low,25,0.4786,High,0.5735,0.5142,,0.5118,,10.34001744,10.75850044,0.0617,GL-LH-TL
PA,5,8/27/17,8am,Female,1791-6,High,25,0.3866,High,0.441,0.3989,,0.3192,,9.546485261,27.61904762,0.1218,GH-LH-TL
PA,3,8/27/17,8am,Female,1490-5,Low,25,0.4452,High,0.6778,0.6155,,0.5435,,9.191501918,19.81410446,0.1343,GL-LH-TL
PA,7,8/27/17,8am,Male,1791-4,High,25,0.1695,Low,0.4389,0.4237,,0.4048,,3.463203463,7.769423559,0.0341,GH-LL-TL
PA,5,8/27/17,8am,Female,1791-1,High,25,0.5207,High,0.7713,0.7504,,0.7337,,2.709710878,4.874886555,0.0376,GH-LH-TL
PA,1,8/27/17,8am,Female,1490-21,Low,25,0.5307,Low,0.6275,0.5706,,0.4807,,9.067729084,23.39442231,0.1468,GL-LL-TL
PA,7,8/27/17,8am,Female,1791-24,High,25,0.2839,Low,0.5372,0.4234,,0.3187,,21.1839166,40.67386448,0.2185,GH-LL-TL
PA,1,8/27/17,8am,Female,1490-22,Low,25,0.4432,Low,0.47,0.3892,,0.3496,,17.19148936,25.61702128,0.1204,GL-LL-TL
PA,1,8/27/17,8am,Male,1490-12,Low,25,0.1568,Low,0.4208,0.4067,,0.3807,,3.350760456,9.529467681,0.0401,GL-LL-TL
PA,5,8/27/17,8am,Male,1791-7,High,25,0.1629,High,0.6694,0.6521,,0.6416,,2.584403944,4.152972811,0.0278,GH-LH-TL
PA,4,8/27/17,8am,Male,1490-23,Low,32,0.1853,High,0.5365,0.5049,,0.4657,,5.890027959,13.19664492,0.0708,GL-LH-TH
PA,6,8/27/17,8am,Female,1791-21,High,32,0.2601,High,0.4935,0.4096,,0.2701,,17.00101317,45.26849037,0.2234,GH-LH-TH
PA,8,8/27/17,8am,Male,1791-9,High,32,0.1677,Low,0.7262,0.6893,,0.6337,,5.081244836,12.73753787,0.0925,GH-LL-TH
PA,4,8/27/17,8am,Female,1490-3,Low,32,0.4774,High,0.7233,0.685,,0.6159,,5.295174893,14.84861054,0.1074,GL-LH-TH
PA,4,8/27/17,8am,Male,1490-8,Low,32,0.144,High,0.464,0.4539,,0.4177,,2.176724138,9.978448276,0.0463,GL-LH-TH
PA,6,8/27/17,8am,Male,1791-17,High,32,0.1706,High,0.3858,0.3612,,0.3104,,6.376360809,19.54380508,0.0754,GH-LH-TH
PA,4,8/27/17,8am,Female,1490-7,Low,32,0.4513,High,0.7527,0.6537,,0.5891,,13.15265046,21.73508702,0.1636,GL-LH-TH
PA,6,8/27/17,8am,Female,1791-14,High,32,0.4679,High,0.8297,0.7788,,0.7142,,6.134747499,13.92069423,0.1155,GH-LH-TH
PA,2,8/27/17,8am,Female,1490-1,Low,32,0.5566,Low,0.4347,0.348,,0.1819,,19.94478951,58.15504946,0.2528,GL-LL-TH
PA,8,8/27/17,8am,Female,1791-10,High,32,0.4645,Low,0.784,0.7341,,0.7347,,6.364795918,6.288265306,0.0493,GH-LL-TH
PA,2,8/27/17,8am,Female,1490-20,Low,32,0.2575,Low,0.7112,0.6597,,0.5512,,7.24128234,22.49718785,0.16,GL-LL-TH
