sample #,Transect,Elevation,samples,RT_12.83_17-oxosparteine,RT-12.90_Unknown,RT 13.31_Lupanine,RT_14.25_Unknown,RT_15.00_Acetoxylupanine,"sparteine, normalized, conc adjusted"
1,GB,1668,lupine21conc.D,753565,0,0,19551,0,1.20E+09
2,GB,1668,lupine22_conc.D,99460,0,0,441395,0,5.00E+07
3,GB,1668,lupin23conc.D,340632,0,0,19071,0,3.81E+08
4,GB,1668,lupine24_conc.D,359513,11,0,9095360,0,4.00E+08
5,GB,1668,lupine25conc.D,271102,0,0,1226393,0,1.02E+09
6,GB,1668,lupine26_conc.D,1100842,0,14,20213225,0,1.38E+09
7,GB,1668,lupine27conc.D,3938442,0,0,0,0,2.87E+09
8,GB,1740,lupine28_conc.D,1471187,0,12,9215228,0,8.16E+08
9,GB,1740,lupine29conc.D,95818,11,0,3936367,0,4.96E+08
10,GB,1740,lupine30_conc.D,0,0,0,758094,0,4.67E+07
11,GB,1740,lupine31conc.D,2633392,0,0,649472,0,2.74E+09
12,GB,1809,lupine32conc.D,731911,0,0,6966230,0,1.12E+09
13,GB,1809,lupine33_conc.D,434064,11,0,1978687,0,3.05E+08
14,GB,1809,lupine34conc.D,2183920,0,16,0,0,2.91E+09
15,GB,1809,lupine35_conc.D,0,0,0,142698,0,1.76E+07
16,GB,1809,lupine36conc.D,81226,0,0,3103730,0,3.85E+07
17,GB,1809,lupine37_conc.D,769200,0,13,1588320,0,7.13E+08
18,GB,1809,lupine38conc.D,2135063,0,0,917710,0,1.43E+09
19,GB,1940,lupine39_conc.D,1326087,12,0,2437703,0,8.33E+08
20,GB,1940,lupine40conc.D,3859419,10,11,27405161,0,1.56E+09
21,GB,1940,lupine41_conc.D,1148150,13,14,26834139,0,1.25E+09
22,GB,1940,lupine42conc.D,3541752,14,0,3422689,0,2.45E+09
23,GB,2020,lupin43conc.D,3280884,0,17,2964057,0,2.27E+09
24,GB,2020,lupine44_2_conc.D,1679861,11,0,13727564,0,1.03E+09
25,GB,2020,lupine45conc.D,1312955,14,0,6106842,0,1.52E+09
26,GB,2020,lupine46_2_conc.D,927576,11,0,458439,0,6.71E+08
27,GB,2020,lupine47conc.D,4136546,0,0,-77369,0,2.63E+09
28,PA,1490,lupine48_conc.D,105134,0,0,0,0,8.48E+07
29,PA,1490,lupine50conc.D,416812,0,18,36379,15149,3.65E+08
30,PA,1490,lupine52conc.D,1782942,0,0,0,0,1.85E+09
31,PA,1490,lupine54_conc.D,757102,10,0,2640,64876,3.40E+08
32,PA,1490,lupine56conc.D,180515,0,0,0,0,3.15E+08
33,PA,1570,lupine58_conc.D,1482542,11,12,191682,4670293,4.49E+08
34,PA,1570,lupine60conc.D,3277155,0,0,0,0,1.01E+09
35,PA,1570,lupine62conc.D,234735,0,0,7918,507846,6.05E+08
36,PA,1570,lupine64_conc.D,1364301,11,12,13155,57656,8.69E+08
37,PA,1570,lupine66conc.D,3240529,0,15,0,2416642,2.79E+09
38,PA,1680,lupine68_conc.D,3056600,11,12,378725,7044928,1.78E+09
39,PA,1680,lupine70conc.D,4861906,15,16,7798231,26450612,3.08E+09
40,PA,1680,lupine72conc.D,865051,0,0,0,215929,1.02E+09
41,PA,1680,lupine74_conc.D,984057,11,12,-2261,987444,7.08E+08
42,PA,1680,lupine76conc.D,323101,11,11,10468,4814532,1.64E+09
43,PA,1791,lupine78_conc.D,2262414,13,13,3707,7964216,1.90E+09
44,PA,1791,lupine80conc.D,1298920,0,0,0,0,1.45E+09
45,PA,1791,lupine82_conc.D,2417666,12,12,361969,3519600,1.25E+09
46,PA,1791,lupine84_conc.D,1915295,10,10,1401,119674,5.41E+08
47,PA,1791,lupine86conc.D,7412083,10,10,188331,3915939,2.05E+09
48,PA,1901,lupine88_conc.D,1754753,11,11,514710,2390849,6.15E+08
49,PA,1901,lupine90conc.D,4016737,13,13,2427,198766,1.54E+09
50,PA,1901,lupine92conc.D,3853941,18,18,74915,701620,2.78E+09
51,PA,1901,lupine94conc.D,1678547,0,0,3390,44221,2.11E+09
52,PA,1901,lupin96conc.D,3324293,0,15,211571,240988,3.62E+09