Transect,Treatment,Grasshopper source,Temp,Lupine source,Total
GB,6,High,32,High,0.255
GB,8,High,32,Low,0.4687
GB,4,Low,32,High,0.149
GB,2,Low,32,Low,0.0111
GB,4,Low,32,High,0.067
GB,6,High,32,High,0.1946
GB,4,Low,32,High,0.062
GB,2,Low,32,Low,0.2361
GB,8,Low,32,Low,0.2831
GB,6,High,32,High,0.0444
GB,8,High,32,Low,0.2191
GB,8,High,32,Low,0.1608
GB,7,High,25,Low,0.0841
GB,3,Low,25,High,0.0214
GB,1,Low,25,Low,0.1168
GB,7,High,25,Low,0.0831
GB,1,Low,25,Low,0.1213
GB,3,Low,25,High,0.2286
GB,3,Low,25,High,0.1486
GB,1,Low,25,Low,0.1504
GB,3,Low,25,High,0.0709
GB,3,Low,25,High,0.0107
GB,7,High,25,Low,0.2023
GB,5,High,25,High,0.0394
GB,7,High,25,Low,0.1023
GB,7,High,25,Low,0.2354
GB,1,Low,25,Low,0.1221
GB,1,Low,25,Low,0.0424
GB,5,High,25,High,0.151
GB,1,Low,25,Low,0.0804
GB,3,Low,25,High,0.0317
GB,3,Low,25,High,0.1315
GB,3,Low,25,High,0.103
GB,3,Low,25,High,0.0342
GB,1,Low,25,Low,0.2028
GB,7,High,25,Low,0.1375
GB,7,High,25,Low,0.093
GB,1,Low,25,Low,0.0463
GB,5,High,25,High,0.1109
GB,7,High,25,Low,0.1195
GB,5,High,25,High,0.1279
GB,5,High,25,High,0.0197
GB,3,Low,25,High,0.0398
GB,5,High,25,High,0.0897
GB,1,Low,25,Low,0.0623
GB,8,High,32,Low,0.2223
GB,8,High,32,Low,0.0699
GB,2,Low,32,Low,0.2378
GB,2,Low,32,Low,0.0999
GB,6,High,32,High,0.3235
GB,2,Low,32,Low,0.0174
GB,8,High,32,Low,0.0858
GB,4,Low,32,High,0.047
GB,4,Low,32,High,0.0668
GB,6,High,32,High,0.0357
GB,4,Low,32,High,0.0111
GB,8,High,32,Low,0.1851
GB,2,Low,32,Low,0.1396
PA,7,High,25,Low,0.032
PA,3,Low,25,High,0.1345
PA,1,Low,25,Low,0.1574
PA,3,Low,25,High,0.047
PA,1,Low,25,Low,0.2289
PA,3,Low,25,High,0.0101
PA,1,Low,25,Low,0.115
PA,3,Low,25,High,0.0489
PA,5,High,25,High,0.0596
PA,5,High,25,High,0.0449
PA,1,Low,25,Low,0.1142
PA,1,Low,25,Low,0.1427
PA,7,High,25,Low,0.24484
PA,7,High,25,Low,0.0806
PA,7,High,25,Low,0.0711
PA,3,Low,25,High,0.0325
PA,5,High,25,High,0.0605
PA,5,High,25,High,0.0776
PA,1,Low,25,Low,0.0355
PA,3,Low,25,High,0.0601
PA,5,High,25,High,0.0528
PA,7,High,25,Low,0.1343
PA,5,High,25,High,0.0086
PA,7,High,25,Low,0.1598
PA,3,Low,25,High,0.0401
PA,2,Low,32,Low,0.2386
PA,6,High,32,High,0.1219
PA,4,Low,32,High,0.0283
PA,6,High,32,High,0.2197
PA,2,Low,32,Low,0.2433
PA,6,High,32,High,0.0612
PA,4,Low,32,High,0.034
PA,2,Low,32,Low,0.2042
PA,8,High,32,Low,0.177
PA,8,High,32,Low,0.0764
PA,4,Low,32,High,0.0699
PA,4,Low,32,High,0.163
PA,6,High,32,High,0.104
PA,8,High,32,Low,0.2919
PA,2,Low,32,Low,0.0303
PA,6,High,32,High,0.161
PA,6,High,32,High,0.0458
PA,8,High,32,Low,0.0826
PA,2,Low,32,Low,0.0664
PA,2,Low,32,Low,0.0532
PA,4,Low,32,High,0.1047
PA,8,High,32,Low,0.0466
PA,8,High,32,Low,0.3397
PA,4,Low,32,High,0.0301
PA,8,High,32,Low,0.0491
PA,3,Low,25,High,0.038
PA,7,High,25,Low,0.1841
PA,7,High,25,Low,0.2044
PA,3,Low,25,High,0.0617
PA,5,High,25,High,0.1218
PA,3,Low,25,High,0.1343
PA,7,High,25,Low,0.0341
PA,5,High,25,High,0.0376
PA,1,Low,25,Low,0.1468
PA,7,High,25,Low,0.2185
PA,1,Low,25,Low,0.1204
PA,1,Low,25,Low,0.0401
PA,5,High,25,High,0.0278
PA,4,Low,32,High,0.0708
PA,6,High,32,High,0.2234
PA,8,High,32,Low,0.0925
PA,4,Low,32,High,0.1074
PA,4,Low,32,High,0.0463
PA,6,High,32,High,0.0754
PA,4,Low,32,High,0.1636
PA,6,High,32,High,0.1155
PA,2,Low,32,Low,0.2528
PA,8,High,32,Low,0.0493
PA,2,Low,32,Low,0.16
PA,2,Low,32,Low,0.0466
PA,8,High,32,Low,0.2575
GB,5,High,25,High,0.0585
GB,6,High,32,High,0.1661
GB,7,High,25,Low,0.1296
GB,8,High,32,Low,0.0737
GB,1,Low,25,Low,0.0865
GB,2,Low,32,Low,0.1277
GB,3,Low,25,High,0.1446
GB,4,Low,32,High,0.2068
GB,5,High,25,High,0.0353
GB,6,High,32,High,0.0885
GB,7,High,25,Low,0.194
GB,8,High,32,Low,0.0778
GB,1,Low,25,Low,0.0519
GB,2,Low,32,Low,0.2563
GB,3,Low,25,High,0.0216
GB,5,High,25,High,NA
GB,6,High,32,High,0.0747
GB,7,High,25,Low,0.1684
GB,8,High,32,Low,0.0526
GB,1,Low,25,Low,0.1153
GB,2,Low,32,Low,0.0028
GB,3,Low,25,High,0.0911
GB,4,Low,32,High,0.0834
GB,5,High,25,High,NA
GB,6,High,32,High,0.0612
GB,7,High,25,Low,0.1049
GB,8,High,32,Low,0.3034
GB,1,Low,25,Low,0.1486
GB,2,Low,32,Low,0.2173
GB,3,Low,25,High,NA
GB,4,Low,32,High,0.2208
GB,5,High,25,High,0.0368
GB,6,High,32,High,0.0778
GB,7,High,25,Low,0.059
GB,8,High,32,Low,0.293
GB,1,Low,25,Low,0.0847
GB,2,Low,32,Low,0.0889
GB,3,Low,25,High,0.038
GB,4,Low,32,High,0.0659
GB,5,High,25,High,0.0287
GB,6,High,32,High,0.2124
GB,8,High,32,Low,0.1123
GB,1,Low,25,Low,0.0741
GB,2,Low,32,Low,0.0656
GB,3,Low,25,High,0.1169
GB,4,Low,32,High,0.1619
GB,5,High,25,High,0.0449
GB,6,High,32,High,0.2902
GB,7,High,25,Low,0.0886
GB,8,High,32,Low,0.1666
GB,1,Low,25,Low,0.0431
GB,2,Low,32,Low,0.1936
GB,3,Low,25,High,0.0548
GB,4,Low,32,High,0.1927
GB,5,High,25,High,0.088
GB,6,High,32,High,0.1578
GB,4,Low,32,High,0.063
GB,3,Low,25,High,0.0411
GB,3,Low,25,High,0.0281
GB,3,Low,25,High,0.0873
GB,5,High,25,High,0.1452
GB,5,High,25,High,0.0838
GB,5,High,25,High,0.1623
GB,5,High,25,High,0.092
GB,7,High,25,Low,0.0304
GB,7,High,25,Low,0.1513
GB,7,High,25,Low,0.1297
GB,7,High,25,Low,0.1363
GB,7,High,25,Low,0.1217
GB,7,High,25,Low,0.0379
GB,7,High,25,Low,0.0734
GB,1,Low,25,Low,0.1775
GB,1,Low,25,Low,0.1532
GB,1,Low,25,Low,0.078
GB,1,Low,25,Low,0.1367
GB,4,Low,32,High,0.1111
GB,4,Low,32,High,0.1326
GB,4,Low,32,High,0.0485
GB,4,Low,32,High,0.0756
GB,4,Low,32,High,0.1811
GB,4,Low,32,High,0.214
GB,2,Low,32,Low,0.0771
GB,2,Low,32,Low,0.1703
GB,2,Low,32,Low,0.2273
GB,2,Low,32,Low,0.0351
GB,6,High,32,High,0.1375
GB,6,High,32,High,0.2073
GB,6,High,32,High,0.0743
GB,6,High,32,High,0.1516
GB,8,High,32,Low,0.1431
GB,8,High,32,Low,0.0712
GB,8,High,32,Low,0.1281
GB,8,High,32,Low,0.2032
GB,8,High,32,Low,0.1802
GB,8,High,32,Low,0.2523
PA,1,Low,25,Low,0.1622
PA,2,Low,32,Low,0.1185
PA,3,Low,25,High,0.1503
PA,4,Low,32,High,0.1781
PA,1,Low,25,Low,0.0666
PA,2,Low,32,Low,0.0451
PA,3,Low,25,High,0.137
PA,4,Low,32,High,0.0594
PA,1,Low,25,Low,0.1484
PA,2,Low,32,Low,0.1613
PA,4,Low,32,High,0.056
PA,1,Low,25,Low,0.0584
PA,2,Low,32,Low,0.0901
PA,3,Low,25,High,0.05807
PA,4,Low,32,High,0.0535
PA,1,Low,25,Low,0.1796
PA,2,Low,32,Low,0.2009
PA,3,Low,25,High,0.1429
PA,4,Low,32,High,0.085
PA,1,Low,25,Low,0.0387
PA,2,Low,32,Low,0.0568
PA,3,Low,25,High,0.1999
PA,4,Low,32,High,0.0534
PA,1,Low,25,Low,0.1287
PA,2,Low,32,Low,0.236
PA,3,Low,25,High,0.1142
PA,4,Low,32,High,0.048
PA,5,High,25,High,0.152
PA,6,High,32,High,0.2092
PA,7,High,25,Low,0.1532
PA,8,High,32,Low,0.2501
PA,7,High,25,Low,0.0783
PA,8,High,32,Low,0.0546
PA,5,High,25,High,0.0675
PA,6,High,32,High,0.2391
PA,7,High,25,Low,0.046
PA,8,High,32,Low,0.2384
PA,5,High,25,High,0.0475
PA,7,High,25,Low,0.0464
PA,8,High,32,Low,0.1869
PA,5,High,25,High,0.1322
PA,6,High,32,High,0.2265
PA,7,High,25,Low,0.0931
PA,8,High,32,Low,0.1112
PA,5,High,25,High,0.052
PA,6,High,32,High,0.0993
PA,8,High,32,Low,0.2467
PA,5,High,25,High,0.1221
PA,6,High,32,High,0.2872
PA,7,High,25,Low,0.085
PA,8,High,32,Low,0.1379
PA,6,High,32,High,0.1087
PA,1,Low,25,Low,0.0909
PA,6,High,32,High,0.0779
PA,7,High,25,Low,0.1822
PA,2,Low,32,Low,0.0304
PA,7,High,25,Low,0.1029
PA,6,High,32,High,0.13
PA,2,Low,32,Low,0.1235
PA,6,High,32,High,0.2283
PA,4,Low,32,High,0.0863
PA,7,High,25,Low,0.1577
PA,5,High,25,High,0.1096
PA,3,Low,25,High,0.1631
PA,5,High,25,High,0.1605
PA,1,Low,25,Low,0.0841
PA,7,High,25,Low,0.1228
PA,7,High,25,Low,0.0858
PA,5,High,25,High,0.0983
PA,1,Low,25,Low,0.029
PA,3,Low,25,High,0.1022
PA,2,Low,32,Low,0.2081
PA,4,Low,32,High,0.2398
PA,4,Low,32,High,0.247
PA,8,High,32,Low,0.1161
PA,5,High,25,High,0.2054
PA,8,High,32,Low,0.0468
PA,6,High,32,High,0.0408
PA,6,High,32,High,0.0721